,0,1,2,3,4,5,6,7
0,SK텔레콤 오픈 2025 AI 홍보 영상 공모전,광고/마케팅,"대학생, 기타",SK텔레콤,2025-04-24 ~ 2025-05-06,1천만원이하,300만원,
1,SK텔레콤 오픈 2025 AI 홍보 영상 공모전,영상/UCC/사진,"대학생, 기타",SK텔레콤,2025-04-24 ~ 2025-05-06,1천만원이하,300만원,
2,SK텔레콤 오픈 2025 AI 홍보 영상 공모전,웹/모바일/IT,"대학생, 기타",SK텔레콤,2025-04-24 ~ 2025-05-06,1천만원이하,300만원,
3,SK텔레콤 오픈 2025 AI 홍보 영상 공모전,예체능/미술/음악,"대학생, 기타",SK텔레콤,2025-04-24 ~ 2025-05-06,1천만원이하,300만원,
4,SK텔레콤 오픈 2025 AI 홍보 영상 공모전,대외활동/서포터즈,"대학생, 기타",SK텔레콤,2025-04-24 ~ 2025-05-06,1천만원이하,300만원,
5,[과학기술정보통신부] 2025년 연구실 안전 콘텐츠 및 우수사례 공모전,광고/마케팅,제한없음,과학기술정보통신부 / 한국생명공학연구원 국가연구안전관리본부,2025-04-21 ~ 2025-07-21,5천만원~3천만원,200만원,
6,[과학기술정보통신부] 2025년 연구실 안전 콘텐츠 및 우수사례 공모전,논문/리포트,제한없음,과학기술정보통신부 / 한국생명공학연구원 국가연구안전관리본부,2025-04-21 ~ 2025-07-21,5천만원~3천만원,200만원,
7,[과학기술정보통신부] 2025년 연구실 안전 콘텐츠 및 우수사례 공모전,영상/UCC/사진,제한없음,과학기술정보통신부 / 한국생명공학연구원 국가연구안전관리본부,2025-04-21 ~ 2025-07-21,5천만원~3천만원,200만원,
8,[과학기술정보통신부] 2025년 연구실 안전 콘텐츠 및 우수사례 공모전,디자인/캐릭터/웹툰,제한없음,과학기술정보통신부 / 한국생명공학연구원 국가연구안전관리본부,2025-04-21 ~ 2025-07-21,5천만원~3천만원,200만원,
9,[과학기술정보통신부] 2025년 연구실 안전 콘텐츠 및 우수사례 공모전,네이밍/슬로건,제한없음,과학기술정보통신부 / 한국생명공학연구원 국가연구안전관리본부,2025-04-21 ~ 2025-07-21,5천만원~3천만원,200만원,
10,[과학기술정보통신부] 2025년 연구실 안전 콘텐츠 및 우수사례 공모전,예체능/미술/음악,제한없음,과학기술정보통신부 / 한국생명공학연구원 국가연구안전관리본부,2025-04-21 ~ 2025-07-21,5천만원~3천만원,200만원,
11,17℃ 챌린지 영상 공모전,광고/마케팅,제한없음,대한민국시도지사협의회,2025-04-24 ~ 2025-05-23,1천만원이하,150만원,
12,17℃ 챌린지 영상 공모전,영상/UCC/사진,제한없음,대한민국시도지사협의회,2025-04-24 ~ 2025-05-23,1천만원이하,150만원,
13,17℃ 챌린지 영상 공모전,웹/모바일/IT,제한없음,대한민국시도지사협의회,2025-04-24 ~ 2025-05-23,1천만원이하,150만원,
14,17℃ 챌린지 영상 공모전,예체능/미술/음악,제한없음,대한민국시도지사협의회,2025-04-24 ~ 2025-05-23,1천만원이하,150만원,
15,17℃ 챌린지 영상 공모전,대외활동/서포터즈,제한없음,대한민국시도지사협의회,2025-04-24 ~ 2025-05-23,1천만원이하,150만원,
16,스포애니송 챌린지 공모전,광고/마케팅,제한없음,(주)케이디헬스케어 / 스포애니 마케팅팀,2025-03-17 ~ 2025-05-09,3천만원~1천만원,500만원,
17,스포애니송 챌린지 공모전,영상/UCC/사진,제한없음,(주)케이디헬스케어 / 스포애니 마케팅팀,2025-03-17 ~ 2025-05-09,3천만원~1천만원,500만원,
18,스포애니송 챌린지 공모전,웹/모바일/IT,제한없음,(주)케이디헬스케어 / 스포애니 마케팅팀,2025-03-17 ~ 2025-05-09,3천만원~1천만원,500만원,
19,스포애니송 챌린지 공모전,예체능/미술/음악,제한없음,(주)케이디헬스케어 / 스포애니 마케팅팀,2025-03-17 ~ 2025-05-09,3천만원~1천만원,500만원,
20,스포애니송 챌린지 공모전,대외활동/서포터즈,제한없음,(주)케이디헬스케어 / 스포애니 마케팅팀,2025-03-17 ~ 2025-05-09,3천만원~1천만원,500만원,
21,매경미디어그룹 AI 영상광고·숏폼 공모전,광고/마케팅,"일반인, 대학생, 청소년, 기타",매경미디어그룹 / (주)스튜디오프리윌루전,"동국제약, 예스24,달바 ",2025-04-07 ~ 2025-05-07,5천만원~3천만원,500만원
22,매경미디어그룹 AI 영상광고·숏폼 공모전,영상/UCC/사진,"일반인, 대학생, 청소년, 기타",매경미디어그룹 / (주)스튜디오프리윌루전,"동국제약, 예스24,달바 ",2025-04-07 ~ 2025-05-07,5천만원~3천만원,500만원
23,매경미디어그룹 AI 영상광고·숏폼 공모전,웹/모바일/IT,"일반인, 대학생, 청소년, 기타",매경미디어그룹 / (주)스튜디오프리윌루전,"동국제약, 예스24,달바 ",2025-04-07 ~ 2025-05-07,5천만원~3천만원,500만원
24,매경미디어그룹 AI 영상광고·숏폼 공모전,예체능/미술/음악,"일반인, 대학생, 청소년, 기타",매경미디어그룹 / (주)스튜디오프리윌루전,"동국제약, 예스24,달바 ",2025-04-07 ~ 2025-05-07,5천만원~3천만원,500만원
25,매경미디어그룹 AI 영상광고·숏폼 공모전,대외활동/서포터즈,"일반인, 대학생, 청소년, 기타",매경미디어그룹 / (주)스튜디오프리윌루전,"동국제약, 예스24,달바 ",2025-04-07 ~ 2025-05-07,5천만원~3천만원,500만원
26,2025 현대오토에버 배리어프리 앱 개발 콘테스트 공모전,기획/아이디어,대학생,"현대오토에버, 서울사회복지공동모금회 / 사단법인 그린라이트","과학기술정보통신부, 교육부 국립특수교육원",2025-04-22 ~ 2025-05-21,3천만원~1천만원,500만원
27,2025 현대오토에버 배리어프리 앱 개발 콘테스트 공모전,웹/모바일/IT,대학생,"현대오토에버, 서울사회복지공동모금회 / 사단법인 그린라이트","과학기술정보통신부, 교육부 국립특수교육원",2025-04-22 ~ 2025-05-21,3천만원~1천만원,500만원
28,2025 현대오토에버 배리어프리 앱 개발 콘테스트 공모전,게임/소프트웨어,대학생,"현대오토에버, 서울사회복지공동모금회 / 사단법인 그린라이트","과학기술정보통신부, 교육부 국립특수교육원",2025-04-22 ~ 2025-05-21,3천만원~1천만원,500만원
29,2025 현대오토에버 배리어프리 앱 개발 콘테스트 공모전,과학/공학,대학생,"현대오토에버, 서울사회복지공동모금회 / 사단법인 그린라이트","과학기술정보통신부, 교육부 국립특수교육원",2025-04-22 ~ 2025-05-21,3천만원~1천만원,500만원
30,2025 현대오토에버 배리어프리 앱 개발 콘테스트 공모전,대외활동/서포터즈,대학생,"현대오토에버, 서울사회복지공동모금회 / 사단법인 그린라이트","과학기술정보통신부, 교육부 국립특수교육원",2025-04-22 ~ 2025-05-21,3천만원~1천만원,500만원
31,2025 대학생 논문경진대회 장애의 재해석 공모전,기획/아이디어,"일반인, 대학생, 기타",한국장애인재단,보건복지부,2025-04-21 ~ 2025-05-23,1천만원이하,150만원
32,2025 대학생 논문경진대회 장애의 재해석 공모전,논문/리포트,"일반인, 대학생, 기타",한국장애인재단,보건복지부,2025-04-21 ~ 2025-05-23,1천만원이하,150만원
33,2025 대학생 논문경진대회 장애의 재해석 공모전,웹/모바일/IT,"일반인, 대학생, 기타",한국장애인재단,보건복지부,2025-04-21 ~ 2025-05-23,1천만원이하,150만원
